book_info,book_name,book_rate,book_desc,book_url,book_comments
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,"
                追风筝的人

                
              ",8.8,为你，千千万万遍,https://book.douban.com/subject/1770782/,"(
                    266772人评价
                )"
[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,"
                小王子

                
              ",9.0,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/,"(
                    218032人评价
                )"
钱锺书 / 人民文学出版社 / 1991-2 / 19.00,"
                围城

                
              ",8.9,对于“人艰不拆”四个字最彻底的违抗,https://book.douban.com/subject/1008145/,"(
                    184120人评价
                )"
余华 / 南海出版公司 / 1998-5 / 12.00元,"
                活着

                
              ",9.1,活着本身就是人生最大的意义,https://book.douban.com/subject/1082154/,"(
                    125758人评价
                )"
[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,"
                解忧杂货店

                
              ",8.6,一碗精心熬制的东野牌鸡汤，拒绝很难,https://book.douban.com/subject/25862578/,"(
                    203039人评价
                )"
[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,"
                白夜行

                
              ",9.1,暗夜独行的残破灵魂，爱与恶本就难分难舍,https://book.douban.com/subject/3259440/,"(
                    183140人评价
                )"
[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,"
                挪威的森林

                
              ",8.0,村上之发轫，多少人的青春启蒙,https://book.douban.com/subject/1046265/,"(
                    182168人评价
                )"
[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,"
                嫌疑人X的献身

                
              ",8.9,数学好是一种极致的浪漫,https://book.douban.com/subject/3211779/,"(
                    134294人评价
                )"
[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,"
                不能承受的生命之轻

                
              ",8.5,朝向媚俗的一次伟大的进军,https://book.douban.com/subject/1017143/,"(
                    132298人评价
                )"
刘慈欣 / 重庆出版社 / 2008-1 / 23.00,"
                三体

                
                  ",8.8,你我不过都是虫子,https://book.douban.com/subject/2567698/,"(
                    133971人评价
                )"
[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,"
                红楼梦

                
              ",9.5,谁解其中味？,https://book.douban.com/subject/1007305/,"(
                    116765人评价
                )"
郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元,"
                梦里花落知多少

                
              ",7.2,只是青春留下的余烬,https://book.douban.com/subject/1016300/,"(
                    144466人评价
                )"
[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,"
                达·芬奇密码

                
              ",8.2,一切畅销的因素都有了,https://book.douban.com/subject/1040771/,"(
                    125142人评价
                )"
柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,"
                看见

                
              ",8.8,在这里看见中国,https://book.douban.com/subject/20427187/,"(
                    113825人评价
                )"
[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,"
                百年孤独

                
              ",9.2,尼采所谓的永劫复归，一场无始无终的梦魇,https://book.douban.com/subject/6082808/,"(
                    103752人评价
                )"
韩寒 / 国际文化出版公司 / 2010-9 / 25.00元,"
                1988：我想和这个世界谈谈

                
              ",7.9,车手韩寒的公路小说,https://book.douban.com/subject/5275059/,"(
                    118513人评价
                )"
顾漫 / 朝华出版社 / 2007-4 / 15.00元,"
                何以笙箫默

                
              ",8.0,倒追有风险，入行需谨慎,https://book.douban.com/subject/1461903/,"(
                    116288人评价
                )"
路遥 / 人民文学出版社 / 2005-1 / 64.00元,"
                平凡的世界（全三部）

                
              ",9.0,中国当代城乡生活全景,https://book.douban.com/subject/1200840/,"(
                    96637人评价
                )"
[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,"
                简爱

                
              ",8.5,灰姑娘在十九世纪,https://book.douban.com/subject/1141406/,"(
                    104230人评价
                )"
[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,"
                哈利·波特与魔法石

                
              ",9.0,羽加迪姆勒维奥萨！,https://book.douban.com/subject/1041007/,"(
                    84368人评价
                )"
[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,"
                飘

                
              ",9.3,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/,"(
                    75490人评价
                )"
刘慈欣 / 重庆出版社 / 2008-5 / 32.00,"
                三体Ⅱ

                
                  ",9.2,无边的黑暗森林，比第一部更为恢弘壮丽,https://book.douban.com/subject/3066477/,"(
                    79760人评价
                )"
刘瑜 / 上海三联书店 / 2010-1 / 25.00元,"
                送你一颗子弹

                
              ",8.6,犀利又温柔，穿过胸口隐隐作痛,https://book.douban.com/subject/4238362/,"(
                    85446人评价
                )"
高铭 / 武汉大学出版社 / 2010-2 / 29.80元,"
                天才在左 疯子在右

                
                  ",8.3,简称“疯癫与文明”,https://book.douban.com/subject/4242172/,"(
                    87745人评价
                )"
[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,"
                傲慢与偏见

                
              ",8.8,所有现代言情小说的母体,https://book.douban.com/subject/1083428/,"(
                    82374人评价
                )"
张爱玲 / 花城出版社 / 1997-3-1 / 11.00,"
                倾城之恋

                
              ",8.5,一段姻缘，需要一座城的倾覆来成全,https://book.douban.com/subject/1090043/,"(
                    85091人评价
                )"
刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,"
                三体Ⅲ

                
                  ",9.2,终章，何去何从,https://book.douban.com/subject/5363767/,"(
                    78881人评价
                )"
韩寒 / 作家出版社 / 2000-5 / 16.00,"
                三重门

                
              ",7.4,“我是金子，我要发光的”,https://book.douban.com/subject/1026425/,"(
                    94058人评价
                )"
东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / CNY 39.50,"
                白夜行

                
              ",9.2,封面剧透,https://book.douban.com/subject/10554308/,"(
                    78166人评价
                )"
李可 / 陕西师范大学出版社 / 2007-9 / 26.00元,"
                杜拉拉升职记

                
              ",7.8,职场丛林生存手册,https://book.douban.com/subject/2256039/,"(
                    88890人评价
                )"
当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,"
                明朝那些事儿（壹）

                
                  ",8.8,历史本就是一件件“事儿”拼成的,https://book.douban.com/subject/1873231/,"(
                    79615人评价
                )"
[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元,"
                哈利·波特与阿兹卡班的囚徒

                
              ",8.9,小天狼星布莱克,https://book.douban.com/subject/1071241/,"(
                    71568人评价
                )"
龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,"
                目送

                
              ",8.7,不必追,https://book.douban.com/subject/3995526/,"(
                    76665人评价
                )"
[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元,"
                情人

                
              ",8.0,我已经老了，你呢？,https://book.douban.com/subject/1400705/,"(
                    81556人评价
                )"
[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,"
                哈利·波特与密室

                
              ",8.8,渐入佳境，魔法世界全貌初现,https://book.douban.com/subject/1039487/,"(
                    69265人评价
                )"
[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,"
                万历十五年

                
              ",8.9,见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/,"(
                    57218人评价
                )"
郭敬明 / 春风文艺出版社 / 2003-1 / 28.00元,"
                幻城

                
              ",7.1,如今的小四已经无法评价，往事犹可追,https://book.douban.com/subject/1059406/,"(
                    88524人评价
                )"
辛夷坞 / 朝华出版社 / 2007-8 / 25.00元,"
                致我们终将逝去的青春

                
              ",7.9,青春总是用残忍的方式提醒你它已退场,https://book.douban.com/subject/2209098/,"(
                    79898人评价
                )"
[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,"
                1Q84 BOOK 1

                
                  ",8.3,村上的野望，欢迎来到1Q84年,https://book.douban.com/subject/4742918/,"(
                    75619人评价
                )"
杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,"
                我们仨

                
              ",8.6,平淡，坚忍，温情,https://book.douban.com/subject/1023045/,"(
                    73022人评价
                )"
韩寒 主编 / 书海出版社 / 2010-7-6 / 16.00元,"
                独唱团（第一辑）

                
              ",7.8,独唱的人多了，也便成了团,https://book.douban.com/subject/4886245/,"(
                    79365人评价
                )"
姜戎 / 长江文艺出版社 / 2004-4 / 32.00元,"
                狼图腾

                
              ",8.3,我们都是 狼的传人？,https://book.douban.com/subject/1022060/,"(
                    74681人评价
                )"
顾漫 / 江苏文艺出版社 / 2009-8 / 25.00,"
                微微一笑很倾城

                
              ",8.1,一场盛大的意淫,https://book.douban.com/subject/3879301/,"(
                    75881人评价
                )"
安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,"
                莲花

                
              ",8.0,三个生命的交逢，灵魅清冷,https://book.douban.com/subject/1529893/,"(
                    77082人评价
                )"
[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,"
                哈利·波特与火焰杯

                
              ",8.9,整个系列的分水岭，暗色渐浓,https://book.douban.com/subject/1009257/,"(
                    69390人评价
                )"
沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,"
                边城

                
              ",8.6,如水一般的忧愁与怅惘,https://book.douban.com/subject/1057244/,"(
                    66567人评价
                )"
幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,"
                向左走·向右走

                
              ",8.4,两条平行线相遇的可能,https://book.douban.com/subject/1066462/,"(
                    69727人评价
                )"
